sample	disposition	genbank_accession	biosample_acc
SRR959017	Available	GCA_001026545.1	SAMN02338408
SRR969394	Available	GCA_001026615.1	SAMN02338841
SRR955973	Available	GCA_001026555.1	SAMN02324810
ERR222909	Available	GCA_001088845.1	SAMEA1677312
ERR222927	Available	GCA_001099505.1	SAMEA1677449
ERR191814	Available	GCA_001124825.1	SAMEA1690384
ERR222907	Available	GCA_001125025.1	SAMEA1677409
ERR223690	Available	GCA_001101525.1	SAMEA1690415
ERR191772	Available	GCA_001103045.1	SAMEA1690351
ERR191751	Available	GCA_001103565.1	SAMEA1690477
ERR222898	Available	GCA_001126665.1	SAMEA1677426
ERR191794	Available	GCA_001130425.1	SAMEA1690357
ERR191765	Available	GCA_001130625.1	SAMEA1690417
ERR223652	Available	GCA_001133565.1	SAMEA1690407
ERR223616	Available	GCA_001116885.1	SAMEA1690342
ERR223692	Available	GCA_001354635.1	SAMEA1690314
ERR222923	Available	GCA_001319125.1	SAMEA1677411
ERR223679	Available	GCA_001354815.1	SAMEA1690367
ERR191732	Available	GCA_001355215.1	SAMEA1690469
ERR222924	Available	GCA_001095465.1	SAMEA1677414
ERR191749	Available	GCA_001095685.1	SAMEA1690352
ERR223662	Available	GCA_001100765.1	SAMEA1690403
ERR191815	Available	GCA_001106145.1	SAMEA1690315
ERR223669	Available	GCA_001116105.1	SAMEA1690421
ERR191756	Available	GCA_001116825.1	SAMEA1690399
ERR222904	Available	GCA_001120385.1	SAMEA1677479
ERR223664	Available	GCA_001120685.1	SAMEA1690368
ERR191810	Available	GCA_001130865.1	SAMEA1690424
ERR223624	Available	GCA_001131965.1	SAMEA1690316
ERR222932	Available	GCA_001132085.1	SAMEA1677294
ERR223686	Available	GCA_001133405.1	SAMEA1690507
SRR969342	Available	GCA_001025825.1	SAMN02338791
SRR969390	Available	GCA_001026655.1	SAMN02338836
SRR969374	Available	GCA_001025685.1	SAMN02338820
SRR969362	Available	GCA_001025955.1	SAMN02338808
SRR969373	Available	GCA_001026335.1	SAMN02338819
SRR969389	Available	GCA_001026625.1	SAMN02338835
ERR191818	Available	GCA_001168105.1	SAMEA1690459
ERR191770	Available	GCA_001171665.1	SAMEA1690371
ERR223671	Available	GCA_001151205.1	SAMEA1690336
ERR222915	Available	GCA_001155685.1	SAMEA1677297
ERR191820	Available	GCA_001160885.1	SAMEA1690422
ERR191748	Available	GCA_001162285.1	SAMEA1690502
ERR223605	Available	GCA_001165845.1	SAMEA1690467
ERR222934	Available	GCA_001167285.1	SAMEA1677445
ERR191757	Available	GCA_001354995.1	SAMEA1690423
ERR223674	Available	GCA_001355195.1	SAMEA1690466
ERR191734	Available	GCA_001084085.1	SAMEA1690501
ERR222900	Available	GCA_001084685.1	SAMEA1677487
SRR969344	Available	GCA_001025475.1	SAMN02338793
SRR969372	Available	GCA_001026025.1	SAMN02338818
SRR969391	Available	GCA_001026115.1	SAMN02338837
SRR969363	Available	GCA_001026255.1	SAMN02338809
ERR222901	Available	GCA_001085725.1	SAMEA1677412
ERR223642	Available	GCA_001086345.1	SAMEA1690383
ERR191735	Available	GCA_001128365.1	SAMEA1690435
ERR223678	Available	GCA_001143605.1	SAMEA1690330
ERR223638	Available	GCA_001144945.1	SAMEA1690488
ERR223675	Available	GCA_001154625.1	SAMEA1690382
ERR191760	Available	GCA_001161025.1	SAMEA1690401
ERR223635	Available	GCA_001100285.1	SAMEA1690390
ERR191792	Available	GCA_001150325.1	SAMEA1690419
ERR191741	Available	GCA_001118585.1	SAMEA1690458
ERR223636	Available	GCA_001119185.1	SAMEA1690443
ERR191731	Available	GCA_001124565.1	SAMEA1690350
ERR223651	Available	GCA_001126805.1	SAMEA1690353
ERR222939	Available	GCA_001319085.1	SAMEA1677347
ERR222937	Available	GCA_001319185.1	SAMEA1677444
ERR223689	Available	GCA_001354855.1	SAMEA1690381
ERR223626	Available	GCA_001355175.1	SAMEA1690465
ERR223649	Available	GCA_001355375.1	SAMEA1690508
ERR191763	Available	GCA_001146625.1	SAMEA1690317
ERR223656	Available	GCA_001155665.1	SAMEA1690337
ERR191739	Available	GCA_001167545.1	SAMEA1690468
ERR223668	Available	GCA_001168565.1	SAMEA1690489
SRR969343	Available	GCA_001025835.1	SAMN02338792
