sample	disposition	genbank_accession	biosample_acc
SRR8071015	Available	GCA_042126965.1	SAMN08522615
SRR8071041	Available	GCA_042126465.1	SAMN07503592
SRR8071051	Available	GCA_042126305.1	SAMN08472537
SRR8071052	Available	GCA_042126345.1	SAMN08472532
SRR8071054	Available	GCA_042126225.1	SAMN08472530
SRR8071060	Available	GCA_042126185.1	SAMN08522634
SRR8071066	Available	GCA_042126125.1	SAMN08025342
SRR8071076	Available	GCA_042125865.1	SAMN08522637
SRR8071079	Available	GCA_042125805.1	SAMN07427760
SRR8071091	Available	GCA_042125605.1	SAMN07665702
SRR8071098	Available	GCA_042125485.1	SAMN08522620
SRR8071151	Available	GCA_042124445.1	SAMN07503719
SRR8071171	Available	GCA_042124085.1	SAMN08331993
SRR8071182	Available	GCA_042123865.1	SAMN08331921
SRR8071192	Available	GCA_042123685.1	SAMN08522647
SRR8071198	Available	GCA_042123545.1	SAMN07427748
SRR8071203	Available	GCA_042123465.1	SAMN07427753
SRR8071249	Available	GCA_042122645.1	SAMN08472541
SRR8071260	Available	GCA_042122425.1	SAMN07958576
SRR8071275	Available	GCA_042122125.1	SAMN07428680
SRR8071280	Available	GCA_042121985.1	SAMN07428677
SRR8071295	Available	GCA_042121705.1	SAMN08472515
SRR8071312	Available	GCA_042121425.1	SAMN08522606
SRR8071314	Available	GCA_042121405.1	SAMN08522604
SRR8071325	Available	GCA_042121265.1	SAMN08331913
SRR8071339	Available	GCA_042120965.1	SAMN07357586
SRR8071367	Available	GCA_042120365.1	SAMN08007189
SRR8071393	Available	GCA_042119865.1	SAMN08472550
SRR8071403	Available	GCA_042119665.1	SAMN07342059
SRR8071420	Available	GCA_042119325.1	SAMN07428656
SRR8071424	Available	GCA_042119265.1	SAMN08522641
SRR8071426	Available	GCA_042119245.1	SAMN07665687
SRR8071431	Available	GCA_042119085.1	SAMN07665692
SRR8079700	Available	GCA_042119105.1	SAMN10253530
SRR8079702	Available	GCA_042119005.1	SAMN10253546
SRR8079707	Available	GCA_042118895.1	SAMN10253544
SRR8079728	Available	GCA_042118505.1	SAMN10253483
SRR8079753	Available	GCA_042117985.1	SAMN10253500
SRR8079769	Available	GCA_042117665.1	SAMN10253479
SRR8088103	Available	GCA_042117525.1	SAMN06250312
SRR8088131	Available	GCA_042114445.1	SAMN06469383
SRR9985595	Available	GCA_042114005.1	SAMN10425037
SRR9985602	Available	GCA_042113905.1	SAMN10425030
SRR9985605	Available	GCA_042113845.1	SAMN10968304
SRR9985619	Available	GCA_042113545.1	SAMN10167182
SRR9985635	Available	GCA_042113245.1	SAMN10968266
SRR9985694	Available	GCA_042111885.1	SAMN10425044
SRR9985748	Available	GCA_042109885.1	SAMN10425015
SRR9985772	Available	GCA_042108685.1	SAMN10354311
SRR9985802	Available	GCA_042108005.1	SAMN10425061
SRR9985808	Available	GCA_042108125.1	SAMN10425055
SRR9985810	Available	GCA_042107945.1	SAMN10425057
SRR9985814	Available	GCA_042107905.1	SAMN10620646
SRR9985822	Available	GCA_042107745.1	SAMN10620649
SRR9985833	Available	GCA_042107585.1	SAMN10968265
SRR9985834	Available	GCA_042107625.1	SAMN10354567
SRR9985848	Available	GCA_042107325.1	SAMN10354295
SRR9985857	Available	GCA_042079005.1	SAMN10167216
SRR9985861	Available	GCA_042107185.1	SAMN10167211
SRR9985872	Available	GCA_042107115.1	SAMN09081912
SRR9985874	Available	GCA_042078845.1	SAMN09081906
SRR9985891	Available	GCA_042106925.1	SAMN10968287
SRR9985898	Available	GCA_042078625.1	SAMN10354264
SRR9985903	Available	GCA_042106825.1	SAMN10354337
SRR9985955	Available	GCA_042106265.1	SAMN07569656
ERR2133911	Available	GCA_041944845.1	SAMEA104313216
ERR2133975	Available	GCA_041944025.1	SAMEA104313280
SRR11698198	Available	GCA_042105845.1	SAMN11893590
SRR11698906	Available	GCA_042104375.1	SAMN12546562
SRR11698258	Available	GCA_042105885.1	SAMN11885317
SRR11698604	Available	GCA_042105095.1	SAMN12418225
SRR11699050	Available	GCA_042104155.1	SAMN12231146
SRR11698448	Available	GCA_042105415.1	SAMN12723204
SRR11698605	Available	GCA_042105135.1	SAMN12418224
SRR11698693	Available	GCA_042104935.1	SAMN11635103
SRR11698727	Available	GCA_042104815.1	SAMN11635101
SRR11699029	Available	GCA_042104265.1	SAMN12496994
SRR11724783	Available	GCA_041942665.1	SAMN13976906
SRR13670004	Available	GCA_041941895.1	SAMN13918329
SRR2736101	Available	GCA_037846225.1	SAMN04191709
SRR2736136	Available	GCA_037845555.1	SAMN04191746
SRR2736143	Available	GCA_037845435.1	SAMN04191755
SRR2736149	Available	GCA_037845335.1	SAMN04191761
SRR2736165	Available	GCA_037845035.1	SAMN04191780
SRR2736184	Available	GCA_037844725.1	SAMN04191806
SRR2736189	Available	GCA_037844645.1	SAMN04191811
SRR2736221	Available	GCA_037844095.1	SAMN04191849
SRR2736246	Available	GCA_037843585.1	SAMN04191874
SRR2736278	Available	GCA_037842925.1	SAMN04191906
SRR2736288	Available	GCA_037842705.1	SAMN04191916
SRR5827076	Available	GCA_042021975.1	SAMN07351323
SRR5827096	Available	GCA_042021575.1	SAMN07351104
SRR5827151	Available	GCA_042020495.1	SAMN07350962
SRR5827210	Available	GCA_042019405.1	SAMN07351160
SRR5827243	Available	GCA_042013805.1	SAMN07351050
SRR5827248	Available	GCA_042013745.1	SAMN07351049
SRR5827285	Available	GCA_041998545.1	SAMN07351090
SRR5827370	Available	GCA_041996975.1	SAMN07351339
SRR5827375	Available	GCA_041996845.1	SAMN07351243
SRR5827079	Available	GCA_042021895.1	SAMN07351324
SRR5827127	Available	GCA_042020985.1	SAMN07351060
SRR5827135	Available	GCA_042020825.1	SAMN07351054
SRR5827195	Available	GCA_042019685.1	SAMN07351227
SRR5827236	Available	GCA_042013965.1	SAMN07351014
SRR5827241	Available	GCA_042013845.1	SAMN07351021
SRR5827246	Available	GCA_042013705.1	SAMN07351043
SRR5827257	Available	GCA_041999025.1	SAMN07350945
SRR5827308	Available	GCA_041998085.1	SAMN07350987
SRR5827319	Available	GCA_041997925.1	SAMN07351234
SRR5827324	Available	GCA_041997825.1	SAMN07351032
SRR5827332	Available	GCA_041997665.1	SAMN07351126
SRR5827408	Available	GCA_041996205.1	SAMN07351315
SRR5827411	Available	GCA_041996125.1	SAMN07350992
SRR8559331	Available	GCA_041992865.1	SAMN10913369
SRR8559670	Available	GCA_041981575.1	SAMN10913211
SRR8559680	Available	GCA_041981185.1	SAMN10913214
SRR8559737	Available	GCA_041979305.1	SAMN10913003
SRR7401673	Available	GCA_042132325.1	SAMN07428660
SRR8171824	Available	GCA_042132045.1	SAMN09004571
SRR8172046	Available	GCA_042131305.1	SAMN10354120
SRR8172048	Available	GCA_042131285.1	SAMN09241974
SRR8172215	Available	GCA_042131025.1	SAMN08971069
SRR8172356	Available	GCA_042130825.1	SAMN10354389
SRR8833529	Available	GCA_042129685.1	SAMN08662716
SRR8833598	Available	GCA_042129305.1	SAMN10354369
SRR8833609	Available	GCA_042129165.1	SAMN10354343
SRR8833649	Available	GCA_042129065.1	SAMN09760400
SRR8833656	Available	GCA_042128905.1	SAMN09760401
SRR8833690	Available	GCA_042128585.1	SAMN09768780
SRR8903098	Available	GCA_042128405.1	SAMN09081957
SRR8903264	Available	GCA_042127685.1	SAMN10354681
SRR8903346	Available	GCA_042127485.1	SAMN10354494
SRR9877823	Available	GCA_042116585.1	SAMN10793607
SRR9878104	Available	GCA_042115025.1	SAMN09664979
SRR9878256	Available	GCA_042114585.1	SAMN10579315
SRR9877699	Available	GCA_042117365.1	SAMN09768799
SRR9877735	Available	GCA_042117125.1	SAMN11179055
SRR9877749	Available	GCA_042116965.1	SAMN10863467
SRR9877766	Available	GCA_042116845.1	SAMN11492590
SRR9877896	Available	GCA_042116285.1	SAMN09537699
SRR9878085	Available	GCA_042115225.1	SAMN10718248
SRR9878090	Available	GCA_042115145.1	SAMN11554216
SRR9878190	Available	GCA_042114805.1	SAMN10517418
SRR8071004	Available	GCA_042127225.1	SAMN08331929
SRR8071020	Available	GCA_042126905.1	SAMN07342067
SRR8071025	Available	GCA_042126805.1	SAMN07342062
SRR8071030	Available	GCA_042126745.1	SAMN08331986
SRR8071104	Available	GCA_042125385.1	SAMN07665705
SRR8071120	Available	GCA_042125065.1	SAMN08326877
SRR8071125	Available	GCA_042124965.1	SAMN08472578
SRR8071135	Available	GCA_042124785.1	SAMN07503575
SRR8071160	Available	GCA_042124245.1	SAMN07682879
SRR8071207	Available	GCA_042123365.1	SAMN07427747
SRR8071208	Available	GCA_042123385.1	SAMN07427746
SRR8071225	Available	GCA_042123025.1	SAMN07757302
SRR8071233	Available	GCA_042122945.1	SAMN08331951
SRR8071255	Available	GCA_042122525.1	SAMN08472543
SRR8071306	Available	GCA_042121525.1	SAMN08331939
SRR8071317	Available	GCA_042121325.1	SAMN08472582
SRR8071319	Available	GCA_042121305.1	SAMN08331917
SRR8071331	Available	GCA_042121085.1	SAMN07357588
SRR8071334	Available	GCA_042121005.1	SAMN07357579
SRR8071344	Available	GCA_042120845.1	SAMN07837913
SRR8071362	Available	GCA_042120425.1	SAMN08007186
SRR8071372	Available	GCA_042120265.1	SAMN07503587
SRR8071377	Available	GCA_042120165.1	SAMN07503588
SRR8071398	Available	GCA_042119765.1	SAMN08472553
SRR8071408	Available	GCA_042119565.1	SAMN07342054
SRR8071429	Available	GCA_042119185.1	SAMN07665690
SRR8079710	Available	GCA_042118805.1	SAMN10253505
SRR8079713	Available	GCA_042118815.1	SAMN10253508
SRR8079714	Available	GCA_042118785.1	SAMN10253507
SRR8079726	Available	GCA_042118575.1	SAMN10253485
SRR8079741	Available	GCA_042118245.1	SAMN10253521
SRR8079747	Available	GCA_042118185.1	SAMN10253520
SRR8329848	Available	GCA_042114345.1	SAMN10590805
SRR9985589	Available	GCA_042114125.1	SAMN10354196
SRR9985610	Available	GCA_042113725.1	SAMN10968268
SRR9985628	Available	GCA_042113465.1	SAMN10620635
SRR9985634	Available	GCA_042113285.1	SAMN10620629
SRR9985655	Available	GCA_042112605.1	SAMN10354592
SRR9985680	Available	GCA_042112165.1	SAMN10354281
SRR9985684	Available	GCA_042112025.1	SAMN10354235
SRR9985696	Available	GCA_042111845.1	SAMN10425042
SRR9985701	Available	GCA_042111045.1	SAMN10968276
SRR9985709	Available	GCA_042110885.1	SAMN10968312
SRR9985717	Available	GCA_042110725.1	SAMN10167173
SRR9985742	Available	GCA_042110025.1	SAMN08567926
SRR9985764	Available	GCA_042108845.1	SAMN10354278
SRR9985774	Available	GCA_042108665.1	SAMN10354313
SRR9985782	Available	GCA_042108505.1	SAMN10167157
SRR9985790	Available	GCA_042108365.1	SAMN10354239
SRR9985820	Available	GCA_042107825.1	SAMN10620653
SRR9985858	Available	GCA_042079065.1	SAMN10167215
SRR9985908	Available	GCA_042078565.1	SAMN10354340
SRR9985920	Available	GCA_042106705.1	SAMN10354255
SRR9985938	Available	GCA_042106445.1	SAMN10620637
SRR9985939	Available	GCA_042078245.1	SAMN10620636
SRR9985949	Available	GCA_042078145.1	SAMN10354580
SRR9985958	Available	GCA_042106185.1	SAMN07414799
SRR9985966	Available	GCA_042106045.1	SAMN10354288
SRR8307332	Available	GCA_042114465.1	SAMN08915771
ERR2133966	Available	GCA_041944185.1	SAMEA104313271
ERR2133968	Available	GCA_041944115.1	SAMEA104313273
SRR11698644	Available	GCA_042105015.1	SAMN12860990
SRR11698400	Available	GCA_042105535.1	SAMN12956617
SRR11698467	Available	GCA_042105335.1	SAMN12708673
SRR11699088	Available	GCA_042103975.1	SAMN12601254
SRR11699107	Available	GCA_042104035.1	SAMN12601235
SRR11699117	Available	GCA_042103955.1	SAMN12172736
SRR11698334	Available	GCA_042105725.1	SAMN11463679
SRR11698444	Available	GCA_042105495.1	SAMN12723208
SRR11698530	Available	GCA_042105215.1	SAMN12657867
SRR11698740	Available	GCA_042104695.1	SAMN11581175
SRR11698954	Available	GCA_042104355.1	SAMN12583072
SRR11699109	Available	GCA_042104115.1	SAMN12601233
SRR11698361	Available	GCA_042105595.1	SAMN12739179
SRR11724365	Available	GCA_041943805.1	SAMN13975372
SRR11724725	Available	GCA_041943015.1	SAMN13495527
SRR11724333	Available	GCA_042103155.1	SAMN13839985
SRR11724334	Available	GCA_041943885.1	SAMN13839976
SRR11724363	Available	GCA_041943845.1	SAMN13495259
SRR11724913	Available	GCA_042102855.1	SAMN13495465
SRR11725193	Available	GCA_042102595.1	SAMN13495287
SRR11903847	Available	GCA_042109485.1	SAMN10392660
SRR11903873	Available	GCA_042101785.1	SAMN10354726
SRR11903904	Available	GCA_042101275.1	SAMN10354647
SRR11903909	Available	GCA_042101045.1	SAMN10354622
SRR11903915	Available	GCA_042101135.1	SAMN10354616
SRR11903924	Available	GCA_042100875.1	SAMN10077680
SRR11903951	Available	GCA_042100385.1	SAMN10086629
SRR11903982	Available	GCA_042099835.1	SAMN10354449
SRR11904007	Available	GCA_042099335.1	SAMN09828742
SRR11904013	Available	GCA_042099295.1	SAMN09828738
SRR11904066	Available	GCA_042098675.1	SAMN09666454
SRR11904155	Available	GCA_042097315.1	SAMN10834517
SRR11904159	Available	GCA_042097235.1	SAMN10834514
SRR11903835	Available	GCA_042102515.1	SAMN10392671
SRR11904055	Available	GCA_042098775.1	SAMN09666464
SRR11904053	Available	GCA_042096875.1	SAMN09666466
SRR11904229	Available	GCA_042092055.1	SAMN11405923
SRR11904316	Available	GCA_042088135.1	SAMN10596696
SRR11904747	Available	GCA_042080445.1	SAMN12737039
SRR11904889	Available	GCA_042075305.1	SAMN13323879
SRR11904901	Available	GCA_042075105.1	SAMN13323894
SRR11904044	Available	GCA_042096895.1	SAMN09666473
SRR11904173	Available	GCA_042096035.1	SAMN11405941
SRR11904254	Available	GCA_042090035.1	SAMN10714877
SRR11904270	Available	GCA_042089405.1	SAMN10602493
SRR11904286	Available	GCA_042088815.1	SAMN10579320
SRR11904464	Available	GCA_042085515.1	SAMN10411793
SRR11904484	Available	GCA_042085195.1	SAMN12636516
SRR11904519	Available	GCA_042084745.1	SAMN11554190
SRR11904718	Available	GCA_042080985.1	SAMN12737049
SRR11904764	Available	GCA_042080165.1	SAMN12788924
SRR11904803	Available	GCA_042079545.1	SAMN11179104
SRR11904808	Available	GCA_042079445.1	SAMN11179087
SRR11904864	Available	GCA_042075705.1	SAMN13323800
SRR11904180	Available	GCA_042095755.1	SAMN08956130
SRR11904267	Available	GCA_042089565.1	SAMN10602502
SRR11904339	Available	GCA_042087655.1	SAMN10596671
SRR11904359	Available	GCA_042087275.1	SAMN10581085
SRR11904364	Available	GCA_042087165.1	SAMN10581081
SRR11904399	Available	GCA_042086575.1	SAMN10621551
SRR11904459	Available	GCA_042085595.1	SAMN10411798
SRR11904568	Available	GCA_042083975.1	SAMN13181974
SRR11904589	Available	GCA_042083575.1	SAMN11492662
SRR11904598	Available	GCA_042083475.1	SAMN11335921
SRR11904782	Available	GCA_042079925.1	SAMN11288729
SRR11904787	Available	GCA_042079845.1	SAMN11288713
SRR11904792	Available	GCA_042079745.1	SAMN11344938
SRR11904915	Available	GCA_042074845.1	SAMN10925291
SRR11904954	Available	GCA_042074165.1	SAMN12636550
SRR11904455	Available	GCA_042085655.1	SAMN10411801
SRR11904472	Available	GCA_042085375.1	SAMN12636538
SRR11904475	Available	GCA_042085335.1	SAMN12636534
SRR11904612	Available	GCA_042083215.1	SAMN13182007
SRR11904684	Available	GCA_042081445.1	SAMN12883913
SRR11724295	Available	GCA_042103415.1	SAMN13918419
SRR11724314	Available	GCA_042103235.1	SAMN13918314
SRR11724397	Available	GCA_041943685.1	SAMN13918303
SRR11724687	Available	GCA_041943095.1	SAMN12913332
SRR11724766	Available	GCA_041942895.1	SAMN13928405
SRR11724999	Available	GCA_041942385.1	SAMN13495318
SRR11725121	Available	GCA_041942065.1	SAMN13839946
SRR11724512	Available	GCA_041943385.1	SAMN13840139
SRR11903839	Available	GCA_042102375.1	SAMN10392667
SRR11903843	Available	GCA_042102295.1	SAMN10392664
SRR11903860	Available	GCA_042102055.1	SAMN11405819
SRR11903881	Available	GCA_042109445.1	SAMN10354719
SRR11903890	Available	GCA_042101475.1	SAMN10354701
SRR11903906	Available	GCA_042101195.1	SAMN10354645
SRR11903916	Available	GCA_042101115.1	SAMN10354615
SRR11903921	Available	GCA_042100855.1	SAMN10354611
SRR11903949	Available	GCA_042100455.1	SAMN10086631
SRR11903971	Available	GCA_042100055.1	SAMN10354460
SRR11903980	Available	GCA_042099955.1	SAMN10354451
SRR11904019	Available	GCA_042099135.1	SAMN08723548
SRR11904039	Available	GCA_042099035.1	SAMN09666477
SRR11904074	Available	GCA_042098515.1	SAMN08723543
SRR11904077	Available	GCA_042109325.1	SAMN09724039
SRR11904078	Available	GCA_042098555.1	SAMN10354230
SRR11904080	Available	GCA_042098455.1	SAMN10354222
SRR11904116	Available	GCA_042097975.1	SAMN09379885
SRR11904129	Available	GCA_042097755.1	SAMN10354103
SRR11904132	Available	GCA_042097695.1	SAMN08995982
SRR11904144	Available	GCA_042097495.1	SAMN08956136
SRR11904150	Available	GCA_042097415.1	SAMN10834523
SRR11904161	Available	GCA_042097195.1	SAMN10834512
SRR11903867	Available	GCA_042101915.1	SAMN10354749
SRR11904279	Available	GCA_042089195.1	SAMN10656477
SRR11904391	Available	GCA_042086675.1	SAMN08865599
SRR11904535	Available	GCA_042084495.1	SAMN11492614
SRR11904632	Available	GCA_042082585.1	SAMN13181942
SRR11904737	Available	GCA_042080665.1	SAMN11179093
SRR11904881	Available	GCA_042075425.1	SAMN13323776
SRR11904026	Available	GCA_042096995.1	SAMN09768784
SRR11904178	Available	GCA_042095735.1	SAMN11405927
SRR11904320	Available	GCA_042088055.1	SAMN10596692
SRR11904335	Available	GCA_042087735.1	SAMN10596674
SRR11904398	Available	GCA_042086635.1	SAMN10621552
SRR11904408	Available	GCA_042086395.1	SAMN11405877
SRR11904550	Available	GCA_042084315.1	SAMN11160038
SRR11904574	Available	GCA_042083875.1	SAMN11492604
SRR11904579	Available	GCA_042083795.1	SAMN11492612
SRR11904645	Available	GCA_042082085.1	SAMN13181903
SRR11904732	Available	GCA_042080745.1	SAMN11179096
SRR11904767	Available	GCA_042080105.1	SAMN10925283
SRR11904813	Available	GCA_042079405.1	SAMN11179083
SRR11904895	Available	GCA_042075205.1	SAMN13323878
SRR11904932	Available	GCA_042074545.1	SAMN13323969
SRR11904945	Available	GCA_042074225.1	SAMN12883873
SRR11904177	Available	GCA_042095895.1	SAMN11405928
SRR11904272	Available	GCA_042089315.1	SAMN10602491
SRR11904304	Available	GCA_042088395.1	SAMN10714837
SRR11904348	Available	GCA_042087505.1	SAMN10517420
SRR11904354	Available	GCA_042087375.1	SAMN10581048
SRR11904434	Available	GCA_042085915.1	SAMN10414080
SRR11904573	Available	GCA_042109025.1	SAMN11492613
SRR11904638	Available	GCA_042082185.1	SAMN10925286
SRR11904663	Available	GCA_042081865.1	SAMN13181901
SRR11904668	Available	GCA_042081765.1	SAMN13181935
SRR11904696	Available	GCA_042081245.1	SAMN12883902
SRR11904807	Available	GCA_042079425.1	SAMN11405951
SRR11904840	Available	GCA_042076105.1	SAMN10953647
SRR11904847	Available	GCA_042076005.1	SAMN13323841
SRR11904268	Available	GCA_042089425.1	SAMN10602501
SRR11904298	Available	GCA_042088475.1	SAMN10714842
SRR11904368	Available	GCA_042087115.1	SAMN10581041
SRR11904470	Available	GCA_042085415.1	SAMN10392689
SRR11904487	Available	GCA_042085175.1	SAMN12636512
SRR11904522	Available	GCA_042084675.1	SAMN10925275
SRR11904602	Available	GCA_042083395.1	SAMN13181957
SRR11904604	Available	GCA_042083435.1	SAMN13182008
SRR11904619	Available	GCA_042082965.1	SAMN13182005
SRR11904711	Available	GCA_042081065.1	SAMN12737057
SRR11904853	Available	GCA_042075905.1	SAMN13323815
SRR12611588	Available	GCA_042073925.1	SAMN12099274
SRR12612341	Available	GCA_042073705.1	SAMN14544074
SRR12612447	Available	GCA_042073465.1	SAMN14210615
SRR12612551	Available	GCA_042073165.1	SAMN13672896
SRR12612804	Available	GCA_042072765.1	SAMN14733228
SRR12612835	Available	GCA_042072665.1	SAMN14640521
SRR12612838	Available	GCA_042072625.1	SAMN14640519
SRR12612877	Available	GCA_042072495.1	SAMN14588957
ERR1067740	Available	GCA_042042835.1	SAMEA3463003
ERR854878	Available	GCA_042038705.1	SAMEA3165441
ERR854935	Available	GCA_042036875.1	SAMEA3165290
ERR854945	Available	GCA_042036585.1	SAMEA3165307
ERR854955	Available	GCA_042036025.1	SAMEA3165321
ERR855170	Available	GCA_042033675.1	SAMEA3165522
ERR855097	Available	GCA_042032785.1	SAMEA3165446
ERR855264	Available	GCA_042029185.1	SAMEA3165616
ERR855410	Available	GCA_042024175.1	SAMEA3165731
ERR1067857	Available	GCA_042040615.1	SAMEA3463004
ERR855060	Available	GCA_042035095.1	SAMEA3165401
ERR855082	Available	GCA_042034615.1	SAMEA3165427
ERR855259	Available	GCA_042029365.1	SAMEA3165611
SRR11904726	Available	GCA_042080845.1	SAMN11179102
SRR11904771	Available	GCA_042080025.1	SAMN12883890
SRR11904826	Available	GCA_042076265.1	SAMN10965553
SRR11904858	Available	GCA_042075805.1	SAMN13323807
SRR11904888	Available	GCA_042075325.1	SAMN13323853
SRR12612645	Available	GCA_042073045.1	SAMN14170422
SRR12612407	Available	GCA_042073565.1	SAMN13672932
ERR1067757	Available	GCA_042042555.1	SAMEA3463035
ERR1082254	Available	GCA_042039235.1	SAMEA3463187
ERR855412	Available	GCA_042024135.1	SAMEA3165734
ERR971376	Available	GCA_042023115.1	SAMEA3233682
SRR5990357	Available	GCA_042133325.1	SAMN07287158
ERR1067795	Available	GCA_042044035.1	SAMEA3463095
ERR1067805	Available	GCA_042043835.1	SAMEA3462861
ERR1067822	Available	GCA_042043555.1	SAMEA3462878
ERR1067747	Available	GCA_042042735.1	SAMEA3463016
ERR1067760	Available	GCA_042042465.1	SAMEA3463041
ERR1067779	Available	GCA_042042115.1	SAMEA3463073
ERR1082212	Available	GCA_042041255.1	SAMEA3463145
ERR854880	Available	GCA_042038685.1	SAMEA3165475
ERR854957	Available	GCA_042036045.1	SAMEA3165324
ERR854960	Available	GCA_042035965.1	SAMEA3165328
ERR855212	Available	GCA_042032865.1	SAMEA3165564
ERR855139	Available	GCA_042031515.1	SAMEA3165491
ERR855142	Available	GCA_042031465.1	SAMEA3165494
ERR855023	Available	GCA_042027155.1	SAMEA3165364
ERR855388	Available	GCA_042025795.1	SAMEA3165700
ERR855405	Available	GCA_042024255.1	SAMEA3165724
ERR971381	Available	GCA_042023095.1	SAMEA3233687
ERR1067713	Available	GCA_042076345.1	SAMEA3462889
ERR1067721	Available	GCA_042044375.1	SAMEA3462908
ERR1067784	Available	GCA_042042035.1	SAMEA3463083
ERR1082234	Available	GCA_042040755.1	SAMEA3463167
ERR1082171	Available	GCA_042039655.1	SAMEA3463120
ERR1082236	Available	GCA_042039535.1	SAMEA3463169
ERR854952	Available	GCA_042036175.1	SAMEA3165317
ERR854961	Available	GCA_042035945.1	SAMEA3165330
ERR854973	Available	GCA_042035715.1	SAMEA3165223
ERR855043	Available	GCA_042035515.1	SAMEA3165384
ERR855047	Available	GCA_042035455.1	SAMEA3165388
ERR855079	Available	GCA_042034655.1	SAMEA3165421
ERR855126	Available	GCA_042031855.1	SAMEA3165477
ERR855150	Available	GCA_042031035.1	SAMEA3165502
ERR855303	Available	GCA_042025075.1	SAMEA3165707
ERR855329	Available	GCA_042024595.1	SAMEA3165776
SRR5235317	Available	GCA_042134025.1	SAMN05990987
SRR5235383	Available	GCA_042133765.1	SAMN05859765
SRR5990428	Available	GCA_042132645.1	SAMN06350603
ERR1082162	Available	GCA_042039755.1	SAMEA3463202
ERR855093	Available	GCA_042033975.1	SAMEA3165440
SRR5990362	Available	GCA_042133185.1	SAMN07299107
ERR1067791	Available	GCA_042044115.1	SAMEA3463091
ERR1067751	Available	GCA_042042615.1	SAMEA3463023
ERR1082208	Available	GCA_042041315.1	SAMEA3463141
ERR854869	Available	GCA_042038975.1	SAMEA3165296
ERR854899	Available	GCA_042038245.1	SAMEA3165239
ERR854919	Available	GCA_042037325.1	SAMEA3165266
ERR855034	Available	GCA_042035695.1	SAMEA3165375
ERR855066	Available	GCA_042034845.1	SAMEA3165424
ERR855208	Available	GCA_042032945.1	SAMEA3165560
ERR855108	Available	GCA_042032375.1	SAMEA3165457
ERR855113	Available	GCA_042032225.1	SAMEA3165462
ERR855133	Available	GCA_042031695.1	SAMEA3165484
ERR855215	Available	GCA_042030995.1	SAMEA3165567
ERR855233	Available	GCA_042030435.1	SAMEA3165585
ERR854975	Available	GCA_042028985.1	SAMEA3165237
ERR854982	Available	GCA_042028545.1	SAMEA3165263
ERR855290	Available	GCA_042025355.1	SAMEA3165664
ERR855406	Available	GCA_042024275.1	SAMEA3165726
SRR5235319	Available	GCA_042133995.1	SAMN05990985
SRR5990383	Available	GCA_042132805.1	SAMN07271508
ERR1082243	Available	GCA_042039415.1	SAMEA3463176
ERR854990	Available	GCA_042028305.1	SAMEA3165294
SRR17188733	Available	GCA_042064025.1	SAMN23567771
SRR2736193	Available	GCA_037844565.1	SAMN04191816
SRR2736198	Available	GCA_037844405.1	SAMN04191821
SRR2736223	Available	GCA_037844035.1	SAMN04191851
SRR2736238	Available	GCA_037843735.1	SAMN04191866
SRR2736248	Available	GCA_037843555.1	SAMN04191876
SRR2736270	Available	GCA_037843085.1	SAMN04191898
SRR2736272	Available	GCA_037843005.1	SAMN04191900
SRR2736275	Available	GCA_037842975.1	SAMN04191903
SRR2736290	Available	GCA_037842665.1	SAMN04191918
SRR2736130	Available	GCA_037845675.1	SAMN04191740
SRR2736135	Available	GCA_037845575.1	SAMN04191745
SRR2736162	Available	GCA_037845095.1	SAMN04191776
SRR2736167	Available	GCA_037844985.1	SAMN04191784
SRR2736206	Available	GCA_037875365.1	SAMN04191831
SRR5827044	Available	GCA_042022555.1	SAMN07350957
SRR5827138	Available	GCA_042020765.1	SAMN07351270
SRR5827148	Available	GCA_042020555.1	SAMN07350971
SRR5827153	Available	GCA_042020455.1	SAMN07350964
SRR5827161	Available	GCA_042020295.1	SAMN07351095
SRR5827218	Available	GCA_042019285.1	SAMN07351152
SRR5827260	Available	GCA_041998965.1	SAMN07350948
SRR5827365	Available	GCA_041997045.1	SAMN07351334
SRR5827040	Available	GCA_042022635.1	SAMN07351281
SRR5827065	Available	GCA_042022175.1	SAMN07351071
SRR5827080	Available	GCA_042021935.1	SAMN07351327
SRR5827083	Available	GCA_042021835.1	SAMN07351328
SRR5827090	Available	GCA_042021695.1	SAMN07351304
SRR5827108	Available	GCA_042021395.1	SAMN07351149
SRR5827154	Available	GCA_042020435.1	SAMN07350967
SRR5827175	Available	GCA_042020075.1	SAMN07351067
SRR5827184	Available	GCA_042019885.1	SAMN07351182
SRR5827356	Available	GCA_041997205.1	SAMN07351077
SRR5827369	Available	GCA_041996965.1	SAMN07351338
SRR5827372	Available	GCA_041996885.1	SAMN07351337
SRR5827384	Available	GCA_041996665.1	SAMN07351121
SRR5827394	Available	GCA_041996445.1	SAMN07351216
SRR8559204	Available	GCA_041995345.1	SAMN10912871
SRR8559508	Available	GCA_041989385.1	SAMN10913181
SRR7401676	Available	GCA_042132235.1	SAMN08472570
SRR8172045	Available	GCA_042131345.1	SAMN10354119
SRR8172170	Available	GCA_042131125.1	SAMN08723564
SRR8833283	Available	GCA_042130705.1	SAMN11309793
SRR8833289	Available	GCA_042130665.1	SAMN11309801
SRR8833425	Available	GCA_042130245.1	SAMN09294412
SRR8833558	Available	GCA_042129555.1	SAMN09665000
SRR8833567	Available	GCA_042129445.1	SAMN08865614
